隐患描述,隐患类别,风险等级,问题分析,整改建议,复查要点,关键词
使用矿泉水桶或饮料瓶装废液,化学废弃物管理,高风险,容器不规范、标签混乱、成分不明，可能造成误用、泄漏或混装反应。,立即转移至专用废液桶，张贴规范标签，培训相关人员。,检查废液桶、标签、成分、责任人和非专用容器清理情况。,废液 矿泉水 饮料瓶 无标签
废液桶无标签或标签信息不完整,化学废弃物管理,高风险,废液成分、危险类别和责任人不明，增加转运与处置风险。,补贴标签，注明主要成分、危险类别、日期、责任人和实验室。,标签是否完整，台账是否对应。,废液 标签 成分
酸碱试剂混放,危险化学品管理,高风险,不相容试剂混放，泄漏后可能发生中和放热、腐蚀和飞溅。,按酸、碱分区或分柜存放，设置清晰标识。,药品柜分类是否清晰，不相容品是否隔离。,酸 碱 混放
气瓶未固定,气瓶安全,高风险,气瓶倾倒可能造成阀门损坏、泄漏和冲击伤害。,使用链条、支架或气瓶柜固定，清理通道。,气瓶固定、瓶帽、防震圈、台账。,气瓶 未固定 钢瓶
插线板串联使用,用电安全,高风险,插线板串联易过载、发热、短路并引发火灾。,立即拆除串联，使用合格固定插座，核查用电负荷。,插线板数量、负荷和线路规范。,插线板 串联 过载
实验室门未关闭或门禁长期敞开,场所与门禁管理,中风险,可能导致无关人员进入、危险化学品和仪器设备失管，影响责任追溯。,立即关闭实验室门并落实门禁管理，明确最后离室人员责任。,门禁状态、离室记录、外来人员登记。,不关门 门禁 未锁门
通风橱内堆放大量杂物,场所环境与设施,中风险,影响通风效果和应急处置空间。,清理无关物品，保持通风橱操作空间。,通风橱整洁、风速和运行状态。,通风橱 杂物 堆放
学生未佩戴护目镜操作酸液,个人防护,高风险,存在腐蚀性液体飞溅导致眼部伤害风险。,停止操作，佩戴护目镜或面屏，复核实验方案和PPE要求。,PPE佩戴、现场告知、洗眼器可达性。,护目镜 酸液 PPE
气相色谱仪长期过夜无人值守,仪器设备安全,高风险,长时间运行存在电气、气路和设备异常风险。,确需运行应审批备案，明确责任人、巡查记录和应急联系方式。,运行台账、巡查记录、监控措施。,气相色谱 过夜 无人值守
实验室地面积水未及时处理,用水与场所环境隐患,中风险,可能造成滑倒，也可能影响电气设备安全。,立即清理积水，排查水龙头、管路和下水异常。,水源是否关闭、积水是否清理、管路是否修复。,积水 漏水 水池
