一级类别,二级类别,标题,内容,关键词
准入与责任,准入学习,实验室准入基本要求,进入实验室前应完成安全教育、准入考试和现场告知，未经培训考核合格不得独立开展实验。,准入 培训 考试 新生
准入与责任,导师审核,高风险实验导师审核,涉及危化品、气瓶、高温高压、夜间实验、长时间连续运行等场景，应进行实验前风险评估并由导师或负责人审核。,导师 审核 高风险 备案
个人防护,基础防护,实验服、手套与护目镜,进入化学与材料类实验室应穿实验服；涉及化学品飞溅、腐蚀、刺激和挥发风险时，应佩戴护目镜、合适手套或面屏。,实验服 手套 护目镜 防护
危险化学品,分类存放,危险化学品分类存放,危险化学品应按酸、碱、氧化剂、还原剂、易燃液体、毒害品、腐蚀品等性质分类存放，不相容化学品不得混放。,危化品 分类 混放 酸 碱 易燃
危险化学品,标签台账,标签与台账管理,试剂原瓶和二次分装容器均应有清晰标签，注明名称、浓度或主要成分、危险类别、配置日期和责任人，并保持台账可追溯。,标签 台账 二次容器
实验废弃物,废液分类,实验废液分类收集,实验废液不得直接倒入水池，应按有机、无机酸碱、含重金属、含卤有机废液等类别使用专用废液桶分类收集。,废液 分类 专用容器
实验废弃物,废液标签,废液标签规范,废液桶应标注主要成分、危险类别、产生日期、实验室和责任人；不得使用矿泉水瓶、饮料瓶等生活容器盛装废液。,废液 标签 矿泉水瓶
气瓶与设备,气瓶安全,气瓶固定和使用检查,气瓶应使用链条、支架或气瓶柜固定，使用前检查瓶体标识、阀门、减压阀、压力表和管路泄漏情况。,气瓶 固定 减压阀 漏气
用电与设备,用电安全,实验室用电基本要求,不得私拉乱接电线，不得使用破损插座或多个插线板串联；小型电器使用后应及时断电并纳入离室检查。,用电 插线板 串联 断电
消防应急,人员暴露,人员暴露优先处置,出现头晕、刺鼻气味、化学品接触眼睛或皮肤、误食误服等情况，应优先停止实验、脱离暴露区域、冲洗或漱口、报告并就医评估。,头晕 刺鼻 进眼 误食 暴露
准入学习,化学类实验室,化学类实验室准入学习重点,进入化学类实验室前，应重点学习危险化学品分类存放、废液分类收集、气瓶固定、通风橱使用、个人防护和应急设施位置。,准入 化学 危化品 废液 气瓶 PPE
实验前风险研判,有机溶剂实验,有机溶剂加热回流实验风险提醒,有机溶剂加热回流涉及易燃、挥发、加热和废液处置等风险，应在通风橱中操作，远离火源，确认冷凝水、PPE和专用废液桶。,有机溶剂 加热 回流 通风橱 废液
隐患整改闭环,废液管理,废液容器和标签要求,实验废液应使用专用容器分类收集，标签应注明主要成分、危险类别、产生日期和责任人，不得使用矿泉水桶或饮料瓶。,废液 标签 矿泉水桶 分类
知识库维护,制度更新,制度资料入库原则,制度、检查标准、培训材料和隐患台账更新后，应由管理者审核后转化为制度知识、隐患规则、案例和测评题目。,知识库 更新 制度 台账 案例
